term,estimate,std.error,statistic,p.value
(Intercept),-4.4009657256738315,0.023842624432799553,-184.58394704316026,0
age,0.032966712850983265,0.0012858745234019253,25.637581467720604,5.816393571776571e-145
tanass_clean,7.502606791262724e-9,3.875281231541082e-9,1.9360160832196338,0.05286573118843722
sales_clean,1.8543883495239244e-10,3.3249299239348403e-9,0.055772253609765565,0.9555232389403825
pretax,2.603158329810753e-9,2.3729602399545402e-8,0.10970088271940968,0.9126466003341495
persexp_clean,-2.786522729634796e-7,8.580396473255425e-8,-3.2475454232449725,0.0011640508199204087
satok,1.0506461464929355e-10,1.2842681541910512e-9,0.08180893866006729,0.9347986478805788
export,-2.934025533499664e-8,1.6421028321220848e-8,-1.7867489636492686,0.07397807144580172
ereduzem,5.886943412557572e-8,3.210503357527254e-8,1.8336512244272267,0.06670578322102029
emp,0.0014881236737338296,3.786593915638789e-4,3.929979572374575,8.495307859834338e-5
