county,N,share,nace2
1,151925,0.36556022088812423,ALL
13,63326,0.1523743067168758,ALL
8,16285,0.03918478326255128,ALL
3,15808,0.038037031244360496,ALL
9,15552,0.037421046932710936,ALL
5,15014,0.0361265174027599,ALL
7,13287,0.03197102948784273,ALL
6,13024,0.0313382018551715,ALL
2,12540,0.030173606515959045,ALL
15,12107,0.029131726801333028,ALL
19,10852,0.026111959961019744,ALL
11,10241,0.024641778654699888,ALL
20,8777,0.021119118372453952,ALL
NA,8673,0.020868874745846318,ALL
14,8504,0.02046222885260891,ALL
16,7968,0.01917251170009264,ALL
10,7784,0.018729772976094516,ALL
18,7465,0.017962198775249943,ALL
4,6737,0.016210493388996498,ALL
17,5984,0.014398633284808527,ALL
12,3742,0.009003958180440091,ALL
NA,802,0.1789779067172506,10
1,753,0.16804284757866547,10
13,652,0.14550323588484712,10
3,285,0.06360187458156662,10
15,216,0.04820352599866101,10
9,191,0.042624414193260435,10
5,164,0.03659897344342781,10
4,144,0.032135683999107344,10
6,144,0.032135683999107344,10
8,126,0.028118723499218925,10
2,121,0.02700290113813881,10
7,114,0.025440749832626647,10
16,111,0.024771256415978576,10
11,97,0.021646953804954253,10
14,97,0.021646953804954253,10
19,96,0.021423789332738228,10
10,92,0.020531131443874136,10
20,87,0.01941530908279402,10
17,69,0.015398348582905601,10
18,61,0.013613032805177415,10
12,59,0.01316670386074537,10
NA,998,0.1521805428484294,11
3,450,0.0686184812442818,11
5,399,0.060841720036596526,11
13,367,0.05596218359255871,11
9,363,0.05535224153705398,11
1,348,0.053064958828911254,11
8,324,0.04940530649588289,11
16,322,0.04910033546813053,11
2,320,0.048795364440378165,11
14,310,0.047270509301616345,11
4,308,0.04696553827386398,11
7,292,0.044525770051845076,11
15,265,0.040408661177188165,11
17,256,0.03903629155230253,11
6,252,0.0384263494967978,11
18,203,0.0309545593168649,11
10,201,0.030649588289112534,11
19,200,0.030497102775236352,11
20,164,0.02500762427569381,11
11,138,0.021043000914913082,11
12,78,0.011893870082342177,11
NA,728,0.4581497797356828,12
15,109,0.06859660163624921,12
3,90,0.056639395846444306,12
5,90,0.056639395846444306,12
13,75,0.04719949653870359,12
1,74,0.04657016991818754,12
14,62,0.03901825047199497,12
2,53,0.03335431088735054,12
10,46,0.0289490245437382,12
19,45,0.028319697923222153,12
17,36,0.022655758338577723,12
7,34,0.021397105097545627,12
8,26,0.016362492133417242,12
9,21,0.013215859030837005,12
20,21,0.013215859030837005,12
6,20,0.012586532410320957,12
18,19,0.01195720578980491,12
16,13,0.008181246066708621,12
11,12,0.007551919446192574,12
12,11,0.006922592825676526,12
4,4,0.0025173064820641915,12
NA,704,0.4464172479391249,13
1,236,0.14965123652504755,13
13,135,0.08560558021559923,13
3,61,0.03868103994927077,13
8,45,0.028535193405199746,13
6,41,0.02599873176918199,13
2,34,0.02155992390615092,13
9,31,0.019657577679137603,13
11,31,0.019657577679137603,13
7,29,0.018389346861128725,13
18,29,0.018389346861128725,13
4,28,0.017755231452124286,13
15,28,0.017755231452124286,13
19,28,0.017755231452124286,13
5,23,0.014584654407102092,13
20,22,0.013950538998097653,13
14,20,0.012682308180088777,13
16,17,0.01077996195307546,13
10,14,0.008877615726062143,13
17,13,0.008243500317057704,13
12,8,0.0050729232720355105,13
NA,868,0.2216547497446374,14
1,580,0.1481103166496425,14
13,338,0.08631256384065372,14
3,290,0.07405515832482125,14
9,217,0.05541368743615935,14
2,155,0.03958120531154239,14
15,147,0.037538304392236974,14
5,135,0.03447395301327886,14
8,120,0.030643513789581207,14
4,117,0.029877425944841676,14
19,116,0.0296220633299285,14
16,111,0.028345250255362615,14
20,97,0.02477017364657814,14
7,93,0.023748723186925433,14
14,86,0.021961184882533197,14
6,85,0.02170582226762002,14
18,85,0.02170582226762002,14
11,84,0.021450459652706845,14
17,84,0.021450459652706845,14
10,62,0.015832482124616958,14
12,46,0.01174668028600613,14
NA,711,0.5559030492572322,15
1,79,0.0617670054730258,15
13,60,0.04691164972634871,15
2,44,0.03440187646598905,15
9,40,0.03127443315089914,15
15,38,0.029710711493354185,15
16,38,0.029710711493354185,15
3,36,0.028146989835809225,15
8,28,0.0218921032056294,15
5,25,0.019546520719311962,15
4,23,0.017982799061767005,15
6,21,0.01641907740422205,15
18,20,0.01563721657544957,15
19,20,0.01563721657544957,15
12,18,0.014073494917904612,15
14,16,0.012509773260359656,15
17,16,0.012509773260359656,15
7,15,0.011727912431587178,15
20,13,0.010164190774042221,15
11,12,0.009382329945269743,15
10,6,0.004691164972634871,15
NA,846,0.18837675350701402,16
13,505,0.11244711645513249,16
1,394,0.08773101759073702,16
3,252,0.056112224448897796,16
9,231,0.05143620574482298,16
15,203,0.045201514139389894,16
5,202,0.04497884658205299,16
8,188,0.04186150077933645,16
20,164,0.036517479403250945,16
19,153,0.03406813627254509,16
2,148,0.03295479848586061,16
14,147,0.032732130928523714,16
4,145,0.032286795813849925,16
16,143,0.03184146069917613,16
7,141,0.03139612558450234,16
17,133,0.02961478512580717,16
6,122,0.027165441995101312,16
18,117,0.026052104208416832,16
11,110,0.024493431307058562,16
10,106,0.023602761077710976,16
12,41,0.009129369850812736,16
NA,697,0.5458104933437745,17
1,137,0.10728269381362568,17
13,103,0.08065779169929523,17
9,32,0.025058731401722788,17
3,30,0.023492560689115115,17
11,28,0.02192638997650744,17
15,26,0.020360219263899765,17
5,22,0.017227877838684416,17
6,19,0.014878621769772905,17
7,19,0.014878621769772905,17
20,19,0.014878621769772905,17
8,18,0.014095536413469069,17
16,17,0.01331245105716523,17
19,17,0.01331245105716523,17
2,16,0.012529365700861394,17
4,15,0.011746280344557557,17
10,15,0.011746280344557557,17
18,15,0.011746280344557557,17
14,13,0.010180109631949883,17
12,12,0.009397024275646046,17
17,7,0.00548159749412686,17
1,1083,0.35801652892561986,18
NA,721,0.23834710743801654,18
13,385,0.12727272727272726,18
6,71,0.02347107438016529,18
5,68,0.022479338842975205,18
8,68,0.022479338842975205,18
9,68,0.022479338842975205,18
3,65,0.021487603305785124,18
2,52,0.0171900826446281,18
4,52,0.0171900826446281,18
15,46,0.015206611570247934,18
19,45,0.01487603305785124,18
7,43,0.014214876033057851,18
11,41,0.013553719008264463,18
16,38,0.01256198347107438,18
20,38,0.01256198347107438,18
14,33,0.01090909090909091,18
18,33,0.01090909090909091,18
12,27,0.008925619834710744,18
10,26,0.00859504132231405,18
17,22,0.007272727272727273,18
NA,679,0.9854862119013063,19
1,5,0.00725689404934688,19
2,1,0.001451378809869376,19
7,1,0.001451378809869376,19
8,1,0.001451378809869376,19
11,1,0.001451378809869376,19
15,1,0.001451378809869376,19
NA,711,0.5370090634441088,20
1,204,0.1540785498489426,20
13,95,0.07175226586102719,20
19,33,0.024924471299093656,20
5,31,0.023413897280966767,20
3,27,0.02039274924471299,20
6,27,0.02039274924471299,20
9,22,0.01661631419939577,20
7,19,0.014350453172205438,20
16,19,0.014350453172205438,20
2,18,0.013595166163141994,20
15,17,0.01283987915407855,20
8,16,0.012084592145015106,20
11,16,0.012084592145015106,20
14,14,0.010574018126888218,20
17,13,0.009818731117824773,20
10,11,0.008308157099697885,20
18,10,0.0075528700906344415,20
4,8,0.006042296072507553,20
20,7,0.005287009063444109,20
12,6,0.004531722054380665,20
NA,715,0.3932893289328933,21
14,143,0.07865786578657866,21
5,118,0.06490649064906491,21
1,117,0.06435643564356436,21
20,112,0.061606160616061605,21
13,99,0.054455445544554455,21
19,94,0.0517051705170517,21
