firm_owner,N,share,nace2
domestic,389561,0.9373572829317003,ALL
foreign,23165,0.05573936163813328,ALL
local gov,1620,0.003898025722157389,ALL
state,572,0.0013763399463419916,ALL
other,341,8.205103526269565e-4,ALL
,336,8.08479409040051e-4,ALL
domestic,3534,0.788663244811426,10
NA,677,0.15108234769024773,10
foreign,255,0.05690694041508592,10
local gov,13,0.002901138138808302,10
state,2,4.463289444320464e-4,10
domestic,5559,0.8476669716376944,11
NA,677,0.10323269289417505,11
foreign,297,0.04528819762122598,11
local gov,15,0.0022872827081427266,11
state,10,0.0015248551387618177,11
domestic,867,0.5456261799874135,12
NA,677,0.4260541220893644,12
foreign,43,0.027061044682190057,12
local gov,1,6.293266205160479e-4,12
state,1,6.293266205160479e-4,12
domestic,820,0.5199746353836399,13
NA,677,0.4292961318960051,13
foreign,76,0.04819277108433735,13
local gov,2,0.0012682308180088776,13
state,2,0.0012682308180088776,13
domestic,3097,0.7908580183861083,14
NA,677,0.17288049029622063,14
foreign,135,0.03447395301327886,14
local gov,4,0.0010214504596527069,14
state,3,7.660878447395301e-4,14
NA,677,0.5293197810789679,15
domestic,549,0.4292415949960907,15
foreign,49,0.03831118060985145,15
local gov,2,0.001563721657544957,15
state,2,0.001563721657544957,15
domestic,3684,0.8203072812291249,16
NA,677,0.1507459363170786,16
foreign,121,0.026942774437764418,16
local gov,7,0.0015586729013582722,16
state,2,4.4533511467379205e-4,16
NA,677,0.5301487862176977,17
domestic,539,0.4220830070477682,17
foreign,57,0.04463586530931871,17
local gov,2,0.0015661707126076742,17
state,2,0.0015661707126076742,17
domestic,2277,0.7527272727272727,18
NA,677,0.223801652892562,18
foreign,64,0.02115702479338843,18
state,4,0.001322314049586777,18
local gov,3,9.917355371900827e-4,18
NA,677,0.9825834542815675,19
domestic,6,0.008708272859216255,19
foreign,6,0.008708272859216255,19
NA,677,0.5113293051359517,20
domestic,562,0.4244712990936556,20
foreign,85,0.06419939577039276,20
domestic,1059,0.5825082508250825,21
NA,677,0.37238723872387236,21
foreign,63,0.034653465346534656,21
state,17,0.00935093509350935,21
local gov,2,0.0011001100110011,21
domestic,1965,0.6796956070563819,22
NA,677,0.2341750259425804,22
foreign,245,0.0847457627118644,22
local gov,2,6.918021445866483e-4,22
state,2,6.918021445866483e-4,22
domestic,1367,0.6378908072795147,23
NA,677,0.3159122725151657,23
foreign,98,0.045730284647690154,23
state,1,4.666355576294914e-4,23
domestic,678,0.47983014861995754,24
NA,677,0.47912243453644726,24
foreign,57,0.040339702760084924,24
state,1,7.077140835102619e-4,24
domestic,6117,0.8510016694490818,25
NA,677,0.09418475236505286,25
foreign,388,0.053978853644963826,25
state,4,5.564830272676684e-4,25
local gov,2,2.782415136338342e-4,25
domestic,1139,0.5784662265109193,26
NA,677,0.34382935500253936,26
foreign,151,0.07668867445403758,26
state,2,0.001015744032503809,26
NA,677,0.4592944369063772,27
domestic,673,0.45658073270013566,27
foreign,124,0.08412483039348712,27
domestic,2010,0.6921487603305785,28
NA,677,0.2331267217630854,28
foreign,215,0.07403581267217631,28
local gov,1,3.443526170798898e-4,28
state,1,3.443526170798898e-4,28
NA,677,0.5912663755458515,29
domestic,314,0.274235807860262,29
foreign,149,0.13013100436681221,29
state,5,0.004366812227074236,29
NA,677,0.7390829694323144,30
domestic,209,0.22816593886462883,30
foreign,27,0.02947598253275109,30
state,2,0.002183406113537118,30
local gov,1,0.001091703056768559,30
domestic,1830,0.7151230949589683,31
NA,677,0.26455646737006644,31
foreign,49,0.019148104728409537,31
state,2,7.815552950371239e-4,31
local gov,1,3.9077764751856197e-4,31
domestic,1784,0.7007069913589945,32
NA,677,0.2659073055773763,32
foreign,83,0.03260015710919089,32
state,2,7.855459544383347e-4,32
domestic,2560,0.7637231503579952,33
NA,677,0.2019689737470167,33
foreign,112,0.03341288782816229,33
state,2,5.966587112171838e-4,33
local gov,1,2.983293556085919e-4,33
NA,677,0.9955882352941177,34
domestic,3,0.004411764705882353,34
domestic,1708,0.5945005221023321,35
NA,677,0.23564218586843022,35
foreign,398,0.13853115210581274,35
local gov,64,0.022276366167768884,35
state,26,0.00904977375565611,35
NA,677,0.7447744774477447,36
domestic,156,0.1716171617161716,36
local gov,64,0.0704070407040704,36
state,7,0.007700770077007701,36
foreign,5,0.005500550055005501,36
NA,677,0.7964705882352942,37
domestic,145,0.17058823529411765,37
local gov,19,0.02235294117647059,37
foreign,7,0.00823529411764706,37
state,2,0.002352941176470588,37
domestic,878,0.5014277555682467,38
NA,677,0.3866362078812107,38
local gov,127,0.07252998286693318,38
foreign,63,0.03597944031981725,38
state,6,0.0034266133637921186,38
NA,677,0.8420398009950248,39
domestic,110,0.13681592039800994,39
local gov,11,0.013681592039800995,39
foreign,6,0.007462686567164179,39
domestic,15286,0.9096643656272316,41
foreign,765,0.04552487502975482,41
NA,677,0.04028802666031897,41
local gov,67,0.003987145917638658,41
state,9,5.355867650559391e-4,41
domestic,3847,0.823063756953359,42
NA,677,0.14484381685922124,42
foreign,119,0.025459991442019683,42
local gov,22,0.004706889174154899,42
state,9,0.0019255455712451862,42
