region,N,share,nace2
1,215251,0.517934527605,ALL
6,35627,0.0857252854341366,ALL
7,35569,0.0855857264885285,ALL
2,34380,0.08272476810356236,ALL
3,32527,0.07826610041025518,ALL
4,27028,0.06503446865337649,ALL
5,26540,0.06386024855929451,ALL
NA,8673,0.020868874745846318,ALL
1,1405,0.3135460834635126,10
NA,802,0.1789779067172506,10
7,573,0.1278732425797813,10
6,518,0.11559919660790002,10
5,315,0.070296808748047307,10
2,307,0.06851149297031912,10
4,287,0.06404820352599866,10
3,274,0.06114706538719036,10
7,1010,0.15401036901494358,11
NA,998,0.1521805428484294,11
6,950,0.14486123818237268,11
4,886,0.13510216529429706,11
1,715,0.10902714242146996,11
3,691,0.1053674900884416,11
5,678,0.10338517840805124,11
2,630,0.09606587374199452,11
NA,728,0.4581497797356828,12
4,151,0.09502831969792322,12
1,149,0.09376966645689112,12
5,147,0.09251101321585903,12
6,143,0.08999370673379484,12
7,114,0.07174323473882946,12
2,91,0.05726872246696035,12
3,66,0.04153555695405916,12
NA,704,0.4464172479391249,13
1,371,0.2352568167406468,13
7,130,0.08243500317057705,13
3,96,0.060875079264426125,13
2,88,0.05580215599239061,13
6,76,0.04819277108433735,13
4,67,0.0424857324032974,13
5,45,0.028535193405199746,13
1,918,0.23442288049029622,14
NA,868,0.2216547497446374,14
7,492,0.12563840653728295,14
6,475,0.12129724208375894,14
4,325,0.08299284984678243,14
3,302,0.07711950970377937,14
2,293,0.07482124616956078,14
5,243,0.06205311542390194,14
NA,711,0.5559030492572322,15
1,139,0.10867865519937452,15
6,116,0.0906958561376075,15
7,80,0.06254886630179828,15
4,76,0.05942142298670837,15
3,61,0.04769351055512119,15
5,49,0.03831118060985145,15
2,47,0.03674745895230649,15
1,899,0.2001781340458695,16
NA,846,0.18837675350701402,16
6,577,0.128479180583389,16
7,519,0.11556446225784903,16
3,469,0.10443108439100424,16
4,428,0.0953017145401915,16
2,404,0.08995769316410598,16
5,349,0.0777109775105767,16
NA,697,0.5458104933437745,17
1,240,0.18794048551292092,17
6,75,0.058731401722787784,17
2,64,0.050117462803445575,17
7,64,0.050117462803445575,17
3,52,0.04072043852779953,17
5,49,0.03837118245888802,17
4,36,0.028191072826938137,17
1,1468,0.4852892561983471,18
NA,721,0.23834710743801654,18
7,188,0.06214876033057851,18
6,152,0.05024793388429752,18
3,139,0.045950413223140495,18
2,129,0.042644628099173555,18
5,121,0.04,18
4,107,0.035371900826446284,18
NA,679,0.9854862119013063,19
1,5,0.00725689404934688,19
2,2,0.002902757619738752,19
3,1,0.001451378809869376,19
4,1,0.001451378809869376,19
6,1,0.001451378809869376,19
NA,711,0.5370090634441088,20
1,299,0.2258308157099698,20
2,68,0.0513595166163142,20
7,62,0.04682779456193353,20
6,58,0.04380664652567976,20
5,48,0.03625377643504532,20
4,45,0.033987915407854986,20
3,33,0.024924471299093656,20
NA,715,0.3932893289328933,21
4,227,0.12486248624862487,21
1,216,0.1188118811881188,21
5,193,0.10616061606160616,21
3,185,0.10176017601760176,21
2,117,0.06435643564356436,21
6,100,0.05500550055005501,21
7,65,0.035753575357535754,21
NA,765,0.26461432030439297,22
1,757,0.26184711172604636,22
7,267,0.09235558630231754,22
2,259,0.08958837772397095,22
3,227,0.07851954341058458,22
6,221,0.07644413697682463,22
5,203,0.07021791767554479,22
4,192,0.06641300588031823,22
NA,719,0.3355109659356043,23
1,516,0.24078394773681755,23
2,195,0.09099393373775082,23
5,148,0.06906206252916472,23
7,146,0.06812879141390574,23
3,143,0.06672888474101726,23
4,139,0.0648623425104993,23
6,137,0.06392907139524032,23
NA,705,0.4989384288747346,24
1,193,0.13658881811748053,24
4,112,0.07926397735314933,24
5,106,0.07501769285208776,24
2,95,0.06723283793347487,24
3,88,0.06227883934890304,24
6,62,0.043878273177636234,24
7,52,0.03680113234253362,24
1,2206,0.3069003895381191,25
2,976,0.13578185865331108,25
NA,851,0.11839176405119643,25
6,696,0.09682804674457429,25
7,670,0.09321090706733445,25
3,649,0.09028937117417919,25
5,635,0.08834168057874235,25
4,505,0.07025598219254313,25
1,755,0.38344337227018793,26
NA,705,0.3580497714575927,26
2,121,0.061452513966480445,26
7,116,0.05891315388522093,26
3,86,0.04367699339766379,26
6,72,0.036566785170137124,26
5,65,0.033011681056373796,26
4,49,0.02488572879634332,26
NA,693,0.4701492537313433,27
1,382,0.2591587516960651,27
2,84,0.05698778833107191,27
7,78,0.052917232021709636,27
4,62,0.04206241519674356,27
3,60,0.0407055630936228,27
5,58,0.03934871099050204,27
6,57,0.03867028493894165,27
1,924,0.3181818181818182,28
NA,748,0.25757575757575757,28
2,233,0.08023415977961433,28
6,233,0.08023415977961433,28
7,232,0.07988980716253444,28
3,207,0.07128099173553719,28
5,198,0.06818181818181818,28
4,129,0.04442148760330578,28
NA,700,0.611353711790393,29
1,160,0.13973799126637554,29
2,87,0.07598253275109171,29
3,57,0.04978165938864629,29
7,50,0.043668122270742356,29
6,34,0.029694323144104803,29
5,33,0.028820960698689956,29
4,24,0.02096069868995633,29
NA,686,0.7489082969432315,30
1,126,0.13755458515283842,30
2,37,0.04039301310043668,30
4,17,0.018558951965065504,30
3,15,0.016375545851528384,30
7,15,0.016375545851528384,30
5,10,0.010917030567685589,30
6,10,0.010917030567685589,30
1,750,0.29308323563892147,31
NA,732,0.28604923798358733,31
2,248,0.09691285658460336,31
3,232,0.09066041422430637,31
6,183,0.07151230949589683,31
7,182,0.07112153184837827,31
5,124,0.04845642829230168,31
4,108,0.04220398593200469,31
1,801,0.314611154752553,32
NA,727,0.28554595443833464,32
7,228,0.08955223880597014,32
6,195,0.07659073055773763,32
3,191,0.07501963864886096,32
4,147,0.05773762765121759,32
5,132,0.051846032992930086,32
2,125,0.049096622152395915,32
1,1250,0.37291169451073986,33
NA,716,0.21360381861575178,33
2,326,0.09725536992840096,33
7,249,0.07428400954653938,33
3,242,0.07219570405727924,33
6,240,0.07159904534606205,33
5,192,0.057279236276849645,33
4,137,0.04087112171837709,33
NA,678,0.9970588235294118,34
1,2,0.0029411764705882353,34
1,979,0.34075878872258963,35
NA,730,0.25408980160111383,35
6,236,0.08214410024364775,35
7,233,0.08109989557953359,35
4,225,0.07831534980856247,35
2,178,0.061956143404107204,35
3,151,0.05255830142707971,35
5,141,0.04907761921336582,35
NA,682,0.7502750275027503,36
1,56,0.061606160616061605,36
7,36,0.039603960396039604,36
4,33,0.036303630363036306,36
3,30,0.033003300330033,36
5,26,0.028602860286028604,36
6,26,0.028602860286028604,36
2,20,0.022002200220022004,36
NA,681,0.8011764705882353,37
1,57,0.06705882352941177,37
2,24,0.02823529411764706,37
5,22,0.02588235294117647,37
6,22,0.02588235294117647,37
3,17,0.02,37
7,16,0.018823529411764704,37
4,11,0.012941176470588235,37
NA,720,0.41119360365505425,38
1,398,0.22729868646487722,38
7,137,0.07824100513992005,38
2,123,0.07024557395773844,38
6,107,0.061107938320959454,38
5,92,0.052541404911479156,38
3,91,0.051970302684180465,38
4,83,0.047401484865790974,38
NA,680,0.845771144278607,39
1,55,0.06840796019900497,39
7,17,0.021144278606965175,39
3,14,0.017412935323383085,39
6,13,0.01616915422885572,39
4,11,0.013681592039800995,39
2,10,0.012437810945273632,39
5,4,0.004975124378109453,39
1,7945,0.47280409426327064,41
6,1704,0.1014044275172578,41
2,1407,0.08373006427041181,41
3,1261,0.07504165674839323,41
7,1257,0.07480361818614616,41
5,1175,0.06992382766008093,41
4,1143,0.06801951916210426,41
NA,912,0.054272792192335155,41
1,1679,0.35922122379118526,42
NA,742,0.15875053487376978,42
6,530,0.11339323919554985,42
7,390,0.0834403080872914,42
5,369,0.07894736842105263,42
2,363,0.07766367137355584,42
3,306,0.06546854942233633,42
4,295,0.06311510483525888,42
1,9480,0.4260099761829866,43
2,2407,0.10816519121017391,43
6,2138,0.09607693344717566,43
7,2003,0.09001033568507617,43
3,1945,0.08740394553543343,43
5,1688,0.07585494090684403,43
4,1557,0.06996809418954748,43
NA,1035,0.04651058284276277,43
1,7692,0.44480425605736423,45
7,1728,0.09992482507372925,45
6,1714,0.09911524894465969,45
2,1507,0.08714508760770254,45
3,1388,0.08026369051061123,45
4,1136,0.06569132018735904,45
5,1121,0.06482391719192737,45
NA,1007,0.05823165442664662,45
