nace2,var,N,min,max,median,mean,sd,skewness,excess_kurtosis,p0001,p01,p05,p10,p25,p50,p75,p90,p95,p99,p999
ALL,age,414918,0,143,11,12.650176661412617,8.939063333437778,0.7071763754618745,1.3029558754775863,0,0,0,2,6,11,20,25,28,30,60
ALL,tanass_clean,414721,0,6179226000,756,123615.9260700037,10621783.643358627,496.94923462591464,279904.8951285361,0,0,0,0,0,756,10209,59248,163113,1084577.7999999921,12335381.880000241
ALL,eszk,414900,0,10138804000,12800,541808.850128737,27233040.81779018,200.8741387794379,58224.77805682323,0,1,145,872,3424,12800,53756.25,213032.20000000007,525572.9999999998,3344616.220000015,54679862.805003084
ALL,sales_clean,414248,0,2829625349,10143,278616.9683267639,8085749.851779013,180.61079761020437,49442.608261082605,0,0,0,0,400,10143,51382,216189.19999999995,491398.0999999995,2788139.529999991,32097670.03700228
ALL,pretax,414914,-628578497,257109564,383,18989.897991174064,1479063.196388804,-191.44586005664135,91516.00250345533,-528066.755,-35146.83,-5450,-2195.699999999997,-136,383,4383,20852.70000000001,49397.04999999993,267371.8799999999,2766995.1059999946
ALL,persexp_clean,412448,0,152818236,1906.75,31572.988354926118,650718.6306538285,114.51831377301082,19096.181277540323,0,0,0,0,0,1906.75,7923,25819,57141.649999999965,365606.6699999988,3710888.6220002742
ALL,satok,413161,-42969174,3493614347,5840,241011.86713352875,12336270.97456967,161.28154380608353,33610.4190856876,-423621.11999999994,-39808.99999999999,-6762,-1212,1764,5840,24217,98747,245917,1541733.4000000078,20397533.24000162
ALL,export_value,19092,0,3588807679.0976725,0,2447103.734536008,36618494.99235588,60.35994520706252,5149.22564547958,0,0,0,0,0,0,14185.570258746746,1498511.9213937472,5046440.508377593,37883324.31693072,315416255.6396756
ALL,ereduzem,413767,-69429000,94298348,373,15620.608148368514,499594.63892804435,60.99384030571774,13454.059532309933,-419882.99,-31135.34,-5310,-2184,-154,373,4410,20470.800000000047,47222.19999999972,239179.5999999987,1950607.6459999909
ALL,emp,367418,0,30447,1,6.959639974089461,102.02623409137384,135.58153459279137,29580.719680498318,0,0,0,0,0,1,3,9,18,81,639.5829999999842
ALL,liabilities,414593,0,6297400832,3790,187519.6188467746,12424334.43920018,370.61665747020254,170023.49336122297,0,0,0,4,358,3790,20912,89863.79999999999,223491.39999999962,1530074.3200000161,18363602.767999627
10,age,3804,0,70,9,12.221345951629864,9.809219137982241,0.8538953901487218,1.003444830986961,0,0,0,1,4,9,21,27,28,30,66
10,tanass_clean,3803,0,59307311,6279,299280.3941625033,2121546.182074614,17.00245182644067,357.605284746795,0,0,0,0,206.5,6279,50064,312578,956530.0999999993,5313588.860000002,35662119.81199953
10,eszk,3804,0,112184918,24072.5,697383.7368559411,4622076.676227451,13.944573203301108,235.46099457868436,0,4,294.6,1520.6,4493.25,24072.5,126707.5,654771.6000000013,1910494.25,14551513.709999673,73471654.55800085
10,sales_clean,3804,0,156020774,37395,877056.4462447142,5827309.93991738,16.305701619716555,345.93819121853676,0,0,0,0,1574.25,37395,166824,829054.7000000008,2735743.8999999976,16264502.369999956,80217609.49500181
10,pretax,3804,-8305790,9619508,472.5,29785.09305993691,348420.2998056586,9.4674013285019,379.40553284997304,-1267451.0590000001,-124679.79,-14936.75,-5286,-439.25,472.5,7092.25,36456.90000000003,109836.69999999995,670747.6699999975,3924940.55500005
10,persexp_clean,3752,0,16318100,8811.5,90021.54618203564,509500.7456749605,16.297856660144678,380.2078899667826,0,0,0,0,327.75,8811.5,31071.75,108398.70000000001,283729.5499999998,1696281.7299999944,6587175.934999561
10,satok,3792,-6073183,60365505,7929,298371.1534810127,1990687.1322098456,16.460077179102463,368.07537687018595,-1131061.25,-73154.40000000001,-14104.499999999998,-4176.299999999999,1370.25,7929,53867.5,320065.5000000001,952841.449999999,5327722.050000021,24542281.105998527
10,export_value,416,0,158138902.3033271,89618.35405206768,4463244.863878612,14917915.640692443,6.523950061927419,51.719439650809775,0,0,0,0,0,89618.35405206768,2199014.8695105147,9552831.566824026,20967481.20767598,77887361.9996983,151996430.4516242
10,ereduzem,3804,-5236256,10031774,517,33638.75,344916.11296275444,15.095007013062784,408.1809229055327,-1229763.173,-93989.65,-14634.3,-5051.4,-411.75,517,7674.75,37967.00000000004,115630.4,696364.3099999987,4028030.5320000546
10,emp,3446,0,2872,5,24.109402205455602,99.21051748427381,14.768076174752052,319.06951488757875,0,0,0,0,1,5,14,42,93,333.65000000000055,1119.2149999999979
10,liabilities,3804,0,93319504,10664,362727.980809674,2885715.544914545,18.953487305069256,459.6401692992225,0,0,0,60,1619,10664,51098.75,284006.40000000014,870849.1999999998,6771858.559999894,43761735.0960002
11,age,5881,0,71,17,16.6964801904438,11.67752082896342,1.0989551881681867,2.751214613151225,0,0,1,3,7,17,25,28,29,60,70
11,tanass_clean,5879,0,28683592,17400,165335.50082088792,699568.9455785394,20.956856178642457,676.3753316133073,0,0,0,0,824,17400,108801,384514.1999999999,693627.5999999983,2119792.9600000028,7952609.262000155
11,eszk,5880,0,73784009,63598,363884.66906343534,1570547.3564772878,27.120789028164403,1062.9856242880267,0,8,1050.8999999999999,2927.9,13065.5,63598,283292,805085.2,1434370.3,4171703.710000001,14047250.020000104
11,sales_clean,5881,0,138086550,30307,234610.14993354393,2261579.0864588977,45.877408382304715,2523.3665899556713,0,0,0,0,3947,30307,142073,425190,752945,2293624.2,14246281.59999974
11,pretax,5881,-1239314,10033963,1664,18343.62156486992,165996.48378178425,42.04417297933538,2354.1998364826245,-414544.24,-66104.19999999998,-11877,-3909,-70,1664,12707,46854,90750,247289.19999999955,1346993.7999999928
11,persexp_clean,5556,0,10499876,3119.5,23794.99312090067,180291.6392777825,41.515642980704826,2178.902457436443,0,0,0,0,12.75,3119.5,13261.5,45215,88532,275467.35,1203772.0549999783
11,satok,5862,-710851,27484725,29783.5,227248.0258254862,778108.6943338268,14.432561810754118,360.42724761322864,-275876.393,-40586.509999999995,-4821.65,40.10000000000002,4206,29783.5,157911.75,561202.5000000001,1007320.6999999995,3025199.9700000035,8435888.412000133
11,export_value,553,0,39853411.529870875,0,355427.71428999817,2547143.73220871,12.268782844311708,164.20153228088742,0,0,0,0,0,0,0,282530.1350562898,1102079.4215237356,5103358.242448076,35647578.29816886
11,ereduzem,5880,-1007864,10614399,1915,18914.928475340137,175998.9270098582,42.9669149255941,2369.2011391794354,-366827.665,-60426.05,-11281.2,-3666.0000000000005,-74,1915,13573,47828.800000000076,90049.25000000001,221835.9800000001,1280785.360000006
11,emp,5301,0,1141,2,7.084889643463497,25.410946236123866,22.138770622501227,819.680504396024,0,0,0,0,0,2,6,16,30,85,252.39999999999782
11,liabilities,5880,0,54615208,17319.5,125786.65726293447,924508.2131326814,42.98492582008935,2296.204508996503,0,0,4,148.89999999999998,2384.75,17319.5,76138,242874.00000000003,443289.35000000003,1489077.5200000037,7390494.709000081
12,age,912,0,70,17,15.457236842105264,9.43987456874252,0.6590973235588427,2.6410804453236985,0,0,2,3,7,17,23,27,28,30,70
12,tanass_clean,912,0,34440705,14123,133763.08442982455,1167893.1741104543,27.88732349120811,813.7196614623543,0,0,0,0,917.5,14123,74168.75,265065.6999999999,501091.8999999997,1179783.5199999993,7155773.992001662
12,eszk,912,0,60211726,32366.5,255521.78399122806,2172489.3639187007,24.388835141312168,646.6022155122439,0,21.11,548.1,2075.300000000001,6525.75,32366.5,129442.5,450532.1,797744.2999999998,1874437.0699999991,26356527.253002062
12,sales_clean,912,0,151316437,6725,271329.79240564717,5191681.264619713,27.447075752627875,785.6493393526183,0,0,0,0,278.75,6725,32955.75,113336.29999999997,198671.14999999997,820542.6599999998,47729441.07900631
12,pretax,912,-306135,7649783,0,11203.166666666666,272883.2645258641,25.291716041363046,682.7611582189835,-216548.171,-97068.89,-26687.1,-10391.3,-1864,0,2392.75,10897.699999999995,21479.34999999994,80640.21999999997,3254943.1770002674
12,persexp_clean,907,0,6240107,1633,22385.55953693495,225302.81553138918,24.507436359841886,649.5395429885376,0,0,0,0,0,1633,10001,34945.999999999985,61331.19999999978,148441.17999999967,2710168.8260001983
12,satok,910,-436739,31317682,11448,128183.56813186813,1112183.3882717558,24.999322183900123,682.4234327926612,-292837.028,-35132.3,-7983.499999999998,-952.6999999999995,2484.75,11448,58471,224308.90000000002,414979.8999999993,1063518.5599999991,11408394.94600018
12,export_value,50,0,25625240.600166596,0,890422.9923872416,4074740.0683438284,5.075866970151704,26.05660088274704,0,0,0,0,0,0,85.56775798927123,355934.49155281216,2151209.0507313884,19735874.85565667,25036304.025715612
12,ereduzem,912,-306134,6996217,0,10982.384868421053,253919.16092496552,24.515830224985052,643.9214855581715,-224573.992,-86274.74,-25502.499999999996,-10073.800000000001,-1918,0,2544.75,11049.699999999999,23542.499999999964,78838.32999999997,3277554.1730002263
12,emp,825,0,879,1,5.138181818181818,36.60316328166438,19.427404336431344,422.9028128453199,0,0,0,0,0,1,3,9,15.799999999999955,36.51999999999998,520.5600000000194
12,liabilities,912,0,26134220,9612.5,110771.13377192983,979245.8866110798,22.856087477978217,571.7661601401951,0,0,0,35,820.5,9612.5,45456.75,148881.19999999998,366785.3499999995,931633.2099999994,13670462.778000759
13,age,900,0,69,16,16.192222222222224,10.12742757426735,0.9023356506718311,3.179381128616149,0,0,2,4,8,16,24,28,29,35.00999999999999,68.101
13,tanass_clean,900,0,4333558,3003,73032.95222222223,304590.52495159104,8.822362574096754,96.36065686868126,0,0,0,0,15,3003,24813.25,120875.70000000001,309405.75,1278246.0699999994,4017571.187
13,eszk,900,0,8310914,18310.5,187973.42111111112,717696.6630213626,7.880279211520074,71.52360278476807,0,0.9900000000000002,91.60000000000002,866.1000000000001,4531.5,18310.5,89078.5,333940.8,697143.149999999,3449756.1499999994,7835476.052
13,sales_clean,900,0,15092925,16998.5,218968.97222222222,1010927.3332340175,9.777127306665657,114.26486346882707,0,0,0,0,2184.5,16998.5,84035,360935.30000000005,619597.9999999999,4140410.5499999975,13804633.726999998
13,pretax,900,-441842,1604207,622.5,8367.245555555555,70886.53084025122,12.524851367342713,289.14659505221823,-362060.245,-120050.28,-9244.599999999999,-3530.7,-67.25,622.5,5872.25,25334.700000000004,58653.8,237020.25999999995,451984.77099999884
13,persexp_clean,892,0,5611260,3899.5,48822.93883127803,270720.8384414716,14.660043362394982,260.97808727592496,0,0,0,0,114.25,3899.5,18330.5,69103.99999999993,175000.64999999962,778111.5300000028,4298609.397000055
13,satok,897,-418956,5794711,8231,104574.80156075809,459481.0715493673,9.09937821600647,95.86687904188882,-338722.78400000004,-57349.72,-7940,-2267.6,2051,8231,43093,201878.59999999998,417457.79999999946,1749393.2799999984,5652609.880000006
13,export_value,56,0,18107056.902410977,444816.11153416394,2329878.320011402,4141668.651283364,2.3888896651382385,5.389222048987488,0,0,0,0,0,444816.11153416394,3209375.834794204,6159748.345366899,10910889.623894742,17619884.976608407,18058339.70983072
13,ereduzem,900,-329079,1492620,678.5,10191.34111111111,66717.17944735648,12.639729675706683,273.93816371901295,-292241.576,-61911.99,-7751.15,-2848.1,-73,678.5,6250.5,26188.700000000004,59045.04999999998,254709.44999999995,453459.60699999897
13,emp,852,0,3911,2,17.976525821596244,145.06456899617206,23.581768617373964,613.1842494512905,0,0,0,0,0,2,7.25,25,57.44999999999993,217.96000000000004,1692.4430000000025
13,liabilities,900,0,4536997,6308.5,76850.79333333333,321748.5718182041,8.706547748971722,94.15400316689568,0,0,0,28.700000000000017,754.5,6308.5,29749,116436.30000000003,286674.9999999999,1549715.8499999999,4154309.7809999995
14,age,3239,0,71,16,15.826798394566223,10.538699439975948,1.0786240024879452,3.5658844860706767,0,0,1,3,7,16,23,28,29,53.23999999999978,70
14,tanass_clean,3239,0,28937165,5796,211429.2031491201,877132.4982396438,15.126406650281805,393.2095711542408,0,0,0,0,0,5796,67707,457859.0000000001,1118183.9999999995,3341885.539999989,8482668.716000114
14,eszk,3239,0,64539286,26080,422004.68477925286,1894432.3294643483,18.209560854449798,500.26174901374867,0,0,101.9,818.6000000000001,4198,26080,171258.5,910734.8000000023,1985675.5999999992,6084645.739999983,21691097.26400097
14,sales_clean,3239,0,106885380,16731,303881.9307634825,2235610.0045338348,35.71293105865324,1614.703478034227,0,0,0,0,668.5,16731,115238.5,559866.6000000001,1229418.1999999997,4014733.459999998,24258422.406000555
14,pretax,3239,-858502,9739691,489,22524.361222599568,207648.11954449787,33.834479394657954,1501.2386734488696,-485618.01000000007,-74852.72,-10339.199999999999,-3491.8,-155,489,7537,40213.60000000004,96850.2,436980.3199999989,1640628.9260000335
14,persexp_clean,3120,0,2545438,2998.5,30598.448410782446,109438.79169559044,10.124753083460241,153.93353339473347,0,0,0,0,0,2998.5,15735,70871.29999999999,145657.19999999978,441691.2899999998,1378526.8769999691
14,satok,3222,-2512753,20199326,10929,248505.93420235877,994359.5413018719,9.603204740554864,131.21174391130683,-558579.846,-52514.45999999999,-9249.699999999995,-1914.7999999999997,2131,10929,81849,526529.2000000001,1366146.6499999985,4346776.26,13137568.14199999
14,export_value,306,0,123691969.68625946,0,1030966.3203597192,7470064.40382938,14.823994931855347,236.14082215000505,0,0,0,0,0,0,116124.66258076298,1584400.690706327,3079893.8480077097,10415124.606856491,96881744.88072145
