var1,var2,cor,nace2
age,age,1,ALL
tanass_clean,age,0.011088652139471385,ALL
eszk,age,0.016235310202922147,ALL
sales_clean,age,0.02943427228462767,ALL
pretax,age,0.01323861721070928,ALL
persexp_clean,age,0.04696188553953565,ALL
satok,age,0.008920063513883842,ALL
export_value,age,0.028686901229751614,ALL
ereduzem,age,0.028282932095056244,ALL
emp,age,0.047428304074268846,ALL
liabilities,age,0.0078961305964936,ALL
age,tanass_clean,0.011088652139471385,ALL
tanass_clean,tanass_clean,1,ALL
eszk,tanass_clean,0.4701812972768582,ALL
sales_clean,tanass_clean,0.17128332833530494,ALL
pretax,tanass_clean,0.04886647355360544,ALL
persexp_clean,tanass_clean,0.29651025335525116,ALL
satok,tanass_clean,0.09998679966605077,ALL
export_value,tanass_clean,0.15082650571805822,ALL
ereduzem,tanass_clean,0.13871479702081105,ALL
emp,tanass_clean,0.2754068015396533,ALL
liabilities,tanass_clean,0.8923182760035198,ALL
age,eszk,0.016235310202922147,ALL
tanass_clean,eszk,0.4701812972768582,ALL
eszk,eszk,1,ALL
sales_clean,eszk,0.4040568083795181,ALL
pretax,eszk,0.28935271705383525,ALL
persexp_clean,eszk,0.4988617882128833,ALL
satok,eszk,0.6687765525418441,ALL
export_value,eszk,0.3749166948681736,ALL
ereduzem,eszk,0.3298034662171868,ALL
emp,eszk,0.346392967446151,ALL
liabilities,eszk,0.7577477612882403,ALL
age,sales_clean,0.02943427228462767,ALL
tanass_clean,sales_clean,0.17128332833530494,ALL
eszk,sales_clean,0.4040568083795181,ALL
sales_clean,sales_clean,1,ALL
pretax,sales_clean,0.29086353508723506,ALL
persexp_clean,sales_clean,0.6811306231088325,ALL
satok,sales_clean,0.4541208823311077,ALL
export_value,sales_clean,0.8956678484500983,ALL
ereduzem,sales_clean,0.608828370986027,ALL
emp,sales_clean,0.5294266492961233,ALL
liabilities,sales_clean,0.19866899853752412,ALL
age,pretax,0.01323861721070928,ALL
tanass_clean,pretax,0.04886647355360544,ALL
eszk,pretax,0.28935271705383525,ALL
