nace2,N,share_export,share_grant,share_exit
ALL,415595,0.013756180897267774,0.019853463107111502,0.10675296863533013
10,4481,0.06729758149316509,0.03890641430073607,0.11146161934805468
11,6558,0.022955279714334295,0.3314062234313892,0.0491413024995749
12,1589,0.01425438596491228,0.16776315789473684,0.06578947368421052
13,1577,0.044444444444444446,0.023333333333333334,0.08222222222222222
14,3916,0.0345785736338376,0.14047545538746525,0.08490274776165484
15,1279,0.059800664451827246,0.20764119601328904,0.07142857142857142
16,4491,0.015207131620346094,0.061352910330361825,0.09334032511798637
17,1277,0.085,0.035,0.07833333333333334
18,3025,0.016183986371379896,0.009369676320272573,0.10477001703577513
19,689,0.25,0,0.16666666666666666
20,1324,0.11282843894899536,0.02627511591962906,0.06491499227202473
21,1818,0.042068361086765996,0.2751971954425942,0.07274320771253287
22,2891,0.08355916892502259,0.05374887082204156,0.08130081300813008
23,2143,0.05593451568894952,0.02455661664392906,0.08049113233287858
24,1413,0.07336956521739131,0.08831521739130435,0.08423913043478261
25,7188,0.04991552756872984,0.02795269543848871,0.08877284595300261
26,1969,0.07894736842105263,0.017027863777089782,0.09674922600619196
27,1474,0.10163111668757842,0.026348808030112924,0.08155583437892096
28,2904,0.08037718904355635,0.02828917826672654,0.07678491243825775
29,1145,0.2799145299145299,0.023504273504273504,0.0641025641025641
30,916,0.08786610878661087,0.008368200836820083,0.100418410041841
31,2559,0.019128586609989374,0.0281615302869288,0.07810839532412327
32,2546,0.024077046548956663,0.026217228464419477,0.09416800428036383
33,3352,0.016822429906542057,0.011588785046728972,0.08299065420560747
34,680,0,0,0
35,2873,0.019581056466302368,0.010473588342440802,0.07240437158469945
36,909,0.017241379310344827,0.01293103448275862,0.08189655172413793
37,850,0.005780346820809248,0.011560693641618497,0.10982658959537572
38,1751,0.03910614525139665,0.019553072625698324,0.10614525139664804
39,804,0.023622047244094488,0,0.05511811023622047
41,16804,0.003596453153097291,0.012897625100762696,0.14205989954734297
42,4674,0.01075806855141356,0.023767825869402053,0.1253440080060045
43,22253,0.0032906933629959214,0.013394512421208751,0.10052836484983314
45,17293,0.015286470871449204,0.015527202696196436,0.10014443909484834
46,31129,0.040457112833311444,0.014974385918823066,0.11355575988440825
47,45216,0.005074204629650418,0.011338377601652485,0.09773456970295695
49,10508,0.018716305564032143,0.008747838470145458,0.10151561387447869
50,812,0.05185185185185185,0.014814814814814815,0.1037037037037037
51,796,0.09243697478991597,0.025210084033613446,0.07563025210084033
52,3996,0.05061765592045797,0.018077734257306417,0.10605604097619765
53,1335,0.019756838905775075,0.00303951367781155,0.1762917933130699
55,4645,0.0045362903225806455,0.029737903225806453,0.08820564516129033
56,16560,7.555247749165775e-4,0.01485865390669269,0.10791412201725115
57,678,0,0,1
58,3643,0.020903573836817263,0.004720161834120027,0.11901550910316926
59,3637,0.010472972972972974,0.004391891891891892,0.12736486486486487
60,1145,0.023504273504273504,0.021367521367521368,0.14743589743589744
61,1514,0.02031063321385902,0.015531660692951015,0.06690561529271206
62,14145,0.012325512325512326,0.00645975645975646,0.13246213246213245
63,4147,0.01095100864553314,0.009798270893371758,0.1515850144092219
64,4261,0.011997767857142858,0.001953125,0.08537946428571429
65,729,0,0,0.1346153846153846
66,6599,0.004221546774738264,0.0025329280648429585,0.11516379601485985
67,678,0,0,0
68,37670,0.0019192820263293055,0.004649528289135782,0.08242099856729651
69,15559,0.0040989114366348604,0.0042333019755409216,0.0909823948394033
70,19808,0.006272541947624275,0.005436203021274372,0.13224609272907845
71,16089,0.005450298468725668,0.008175447703088503,0.10180378925512587
72,3744,0.021845451581349852,0.019563090968373,0.11477013368112161
73,5668,0.014025245441795231,0.006611901422560609,0.152474454017231
74,7307,0.003770739064856712,0.006184012066365007,0.13650075414781296
75,1419,0.0013477088948787063,0.022911051212938006,0.05660377358490566
76,679,0,0,0
77,4042,0.01991084695393759,0.013075780089153046,0.09301634472511144
78,1936,0.019857029388403495,0.011119936457505957,0.1556791104050834
79,2165,0.010752688172043012,0.006720430107526882,0.1081989247311828
80,3112,0.0053388090349075976,0.0053388090349075976,0.16919917864476386
81,6245,0.0035919540229885057,0.012751436781609195,0.14170258620689655
82,8355,0.008075019536337588,0.007423808283407138,0.15003907267517583
84,911,0.01282051282051282,0.03418803418803419,0.10256410256410256
85,8511,0.001148838396732193,0.007658922644881287,0.13096757722747
86,16517,0.00101010101010101,0.008396464646464647,0.07664141414141414
87,888,0,0.02843601895734597,0.08056872037914692
88,1280,0.001658374792703151,0.014925373134328358,0.11608623548922056
89,713,0.05555555555555555,0.027777777777777776,0.027777777777777776
90,4287,0.003878116343490305,0.008310249307479225,0.14155124653739612
91,974,0.026936026936026935,0.020202020202020204,0.0707070707070707
92,1134,0,0.002188183807439825,0.08533916849015317
93,4371,0.003519220357336221,0.01597184623714131,0.10259880887926368
94,1228,0,0.034482758620689655,0.15789473684210525
95,2516,0.004350190320826536,0.004893964110929853,0.10440456769983687
96,5680,0.0013991605036977814,0.011593044173495902,0.13871676993803717
98,683,0,0,0
99,707,0.06666666666666667,0,0.13333333333333333
