term,estimate,std.error,statistic,p.value,nace2
(Intercept),5.643718575078922,0.011349993630480063,497.24420636879364,0,ALL
ln_sales,-0.585323669004428,0.0012618895814514354,-463.84697806220424,0,ALL
ln_emp,0.6710210079186619,0.002992355705019205,224.24506778827464,0,ALL
(Intercept),5.890769966064876,0.11577101236626114,50.88294423329763,0,10
ln_sales,-0.6012643940944231,0.013121379888839168,-45.823259381877115,0,10
ln_emp,0.6741965394135835,0.024365029249806318,27.670664069444644,4.4603465724387735e-148,10
(Intercept),4.808822800801095,0.08654669523232114,55.563332463389365,0,11
ln_sales,-0.4368246047647209,0.00908846568432736,-48.063624811612016,0,11
ln_emp,0.4481432334309167,0.01797925916526353,24.92556725010911,1.721539964917535e-128,11
(Intercept),5.470358097761516,0.20813476296819594,26.28276996955773,2.445021872894856e-102,12
ln_sales,-0.5711727000083509,0.023894516758079715,-23.903923472953853,1.411209181617635e-89,12
ln_emp,0.658145819067556,0.054068834946610286,12.172369160856439,1.1560438439968109e-30,12
(Intercept),4.12287888432344,0.26647526259628146,15.471901009324583,2.608799886165998e-46,13
ln_sales,-0.4345638146123883,0.02960238307333635,-14.68002807530085,1.953813332916404e-42,13
ln_emp,0.44580573605545876,0.04836047257587486,9.218390811959388,3.9711978063446505e-19,13
(Intercept),5.289654787712558,0.1292362361289235,40.930121041560696,1.3144470858878808e-274,14
ln_sales,-0.5327524350425517,0.014427386510210942,-36.92646860645881,4.7036030889297596e-234,14
ln_emp,0.5482122553547408,0.028322156098955484,19.356303716402397,2.2910093515285078e-77,14
(Intercept),5.837142832623463,0.27479585467020784,21.241742673406858,5.994657798515307e-69,15
ln_sales,-0.6180423234196314,0.03171850949272041,-19.485225923414713,4.93381330873437e-61,15
ln_emp,0.6560858764908177,0.0555724663855774,11.80595210474751,4.782061224052032e-28,15
(Intercept),5.77566204830936,0.10882415430407673,53.07334649411555,0,16
ln_sales,-0.5762978791453983,0.01213831719736318,-47.477576156156815,0,16
ln_emp,0.6470622867201236,0.027606363162170224,23.438881931641443,1.2150574542451023e-110,16
(Intercept),5.540530443970867,0.2764445710946896,20.042102552533354,1.5312775913356956e-63,17
ln_sales,-0.566464994072112,0.030226264356813297,-18.740820479340023,1.0946570774308302e-57,17
ln_emp,0.6863458337625366,0.053434051052231646,12.844727664231096,3.5315960650000776e-32,17
(Intercept),5.111157017797719,0.14357329310464287,35.59963630612325,9.981011013481599e-206,18
ln_sales,-0.5488571032919443,0.016277486584707786,-33.71878701516358,1.961708215377802e-189,18
ln_emp,0.6822123591776375,0.03442157901684439,19.819322025982395,1.7776983402230397e-78,18
(Intercept),2.144718468711223,0.6909444648171352,3.1040388597350472,0.03607958822767245,19
ln_sales,-0.08302078234184367,0.0678576068831379,-1.2234557944965445,0.28830054502803404,19
ln_emp,0.06146161828153861,0.1109160834420552,0.5541271957519794,0.6090103183039801,19
(Intercept),5.15583408050409,0.28380425790460057,18.16686655292254,2.7729127594042012e-56,20
ln_sales,-0.5130322280118486,0.03121244352612511,-16.4367851425165,2.5930885328381718e-48,20
ln_emp,0.7327104778476181,0.05820160567133138,12.589179789734436,1.573894071271134e-31,20
(Intercept),6.479622418174824,0.17984836090332848,36.02825394476478,8.572158240753849e-161,21
ln_sales,-0.693676191760004,0.021425539836422328,-32.376136006654534,1.2281843459737902e-140,21
ln_emp,0.9186318343502167,0.05090969998202215,18.044338007778777,6.273891256114042e-60,21
(Intercept),6.097528061074308,0.1553684547395355,39.24559892995263,2.195148865605202e-240,22
ln_sales,-0.6227935618203795,0.016987064146550875,-36.66281332944952,2.499418239878749e-217,22
ln_emp,0.7564729616420443,0.02819935572256186,26.825895211386058,1.756075823449862e-132,22
(Intercept),5.018981267699414,0.1806618243421261,27.781083723558442,4.463994110010143e-129,23
ln_sales,-0.5233131441578246,0.020225474493636594,-25.8739612918585,1.2223961400281882e-115,23
ln_emp,0.6805368233853423,0.03717443519963263,18.306581383973995,1.5329766830273393e-65,23
