term,estimate,std.error,statistic,p.value,nace2
(Intercept),10120.981669718014,1152.287920584239,8.783379126795342,1.5929954952634135e-18,ALL
tanass_clean,-0.0129378017187054,2.714110326929004e-4,-47.66866545673708,0,ALL
eszk,0.015294364324233938,1.0756017194127878e-4,142.19356522211322,0,ALL
emp,-2585.8909576601523,31.232162060141892,-82.79577163696378,0,ALL
persexp_clean,0.637568241509636,0.005081690108394298,125.46381772797506,0,ALL
liabilities,-0.0032577269195058858,2.6875680962793673e-4,-12.12146744864191,8.251677992264468e-34,ALL
(Intercept),1071.7808137616078,4481.125929222961,0.23917667806926762,0.8109830274652584,10
tanass_clean,0.047213344397633826,0.0033628980987347444,14.039481129504745,1.445842481409119e-43,10
eszk,0.06287338745986053,0.0031198558662013294,20.152657736850465,2.0948099875152856e-85,10
emp,-1778.443671522575,134.56183672490383,-13.216553183339776,6.344238991388844e-39,10
persexp_clean,0.5888471715973109,0.028096689962980564,20.957884091441375,8.20042679329896e-92,10
liabilities,-0.1273579026250557,0.004027902909827854,-31.618910752369338,1.524325632619721e-192,10
(Intercept),8574.094878713837,1270.761853531275,6.747208263206509,1.678309625288807e-11,11
tanass_clean,-7.003282028776711e-4,0.005792299385432558,-0.12090676884536967,0.9037697418905122,11
eszk,0.03339431970014655,0.0036048787371646012,9.263645779778068,2.868103772599334e-20,11
emp,-5808.189589301232,182.78815154016766,-31.775525603610493,5.56741159984375e-202,11
persexp_clean,1.4335272653746134,0.022032559170578156,65.06403792115613,0,11
liabilities,-0.047081384546148096,0.0038563691476495667,-12.208733848740572,8.42578846068559e-34,11
(Intercept),-13446.683029418338,1533.2062765006526,-8.770302623668274,1.0305567182748133e-17,12
tanass_clean,-0.04141607629665452,0.007013670983702833,-5.905049779621842,5.174874947407441e-9,12
eszk,0.046836648419991966,0.009221553500338441,5.079041011720315,4.7058452985049576e-7,12
emp,-3325.0246779212034,260.43484577522923,-12.767203513123192,3.71111531001412e-34,12
persexp_clean,1.5790492030453693,0.0748026898248535,21.10952435992113,3.1544559008300844e-79,12
liabilities,-0.02802913146034686,0.012399245201373858,-2.2605514291499924,0.024050414560806914,12
(Intercept),5707.239464100101,1611.4604641845403,3.541656522729634,4.1956925232743326e-4,13
tanass_clean,-0.12924211393556487,0.014184895349767447,-9.111249025723952,5.877540952214508e-19,13
eszk,0.0834444743880735,0.00824996924656048,10.114519447798255,9.071301285690118e-23,13
emp,-11.006123778255672,28.219735810099976,-0.39001512460355947,0.6966244708416365,13
persexp_clean,-0.008022453501611104,0.017578832232575912,-0.45637010442277454,0.6482421136235954,13
liabilities,-0.05354423454223012,0.008910024184919346,-6.009437621152181,2.774791699851153e-9,13
(Intercept),-7723.681531824786,3159.303516394356,-2.444741852672533,0.014554987836486838,14
tanass_clean,-0.023040103771764048,0.010153079299575827,-2.269272512500381,0.023325234859344957,14
eszk,0.15943283444972267,0.0080941052697299,19.697400656001467,3.8331276253681817e-81,14
emp,-4291.656770422644,265.11125187395766,-16.188135132276596,1.7439587848978362e-56,14
persexp_clean,1.4932514276618796,0.09396988229550841,15.890744898094379,1.4155767939992445e-54,14
liabilities,-0.21118444444434462,0.00892928374238696,-23.650770939427126,3.473576414633968e-113,14
(Intercept),4070.443793175351,4939.442008016864,0.8240695581745666,0.4102815112406413,15
tanass_clean,-0.1456592932276621,0.011582121132638037,-12.576219119069563,8.078418348872049e-32,15
eszk,0.11542910711615693,0.00736338011972887,15.676103262262005,1.4502998558542027e-45,15
emp,-3017.1411924799713,354.31962188731256,-8.51530935941092,1.8331394531592528e-16,15
persexp_clean,1.1986247987343739,0.08868452362275119,13.515602833174354,7.66847624999091e-36,15
liabilities,-0.2607760049803185,0.01943230939508441,-13.41971248390499,2.003262695597723e-35,15
(Intercept),1410.5722207288386,1143.6215004621565,1.233425762071457,0.21749973736006703,16
tanass_clean,-0.111675656597885,0.004895646325919543,-22.811218205577607,1.6827870744005056e-107,16
eszk,0.15287362307603225,0.003205753978377403,47.687259879315334,0,16
emp,1814.0420960562753,179.35599208179997,10.114198444114063,1.0088556925687069e-23,16
persexp_clean,-0.3690885436413687,0.037167711420733815,-9.930354319192077,6.156194338392556e-23,16
liabilities,-0.18401888234669217,0.004929196314082173,-37.332431216214786,4.290397062624014e-257,16
(Intercept),8229.69706547444,6198.998920670132,1.3275848521336382,0.18488360217532723,17
tanass_clean,-0.04972683768976951,0.003929669134678743,-12.65420471431999,2.816776042085358e-32,17
