term,estimate,std.error,statistic,p.value,nace2
(Intercept),83434.68519024739,8815.054780540166,9.465021746028754,2.9515413501130217e-21,ALL
tanass_clean,-0.07734726007365668,0.002075655372084927,-37.264018446358904,2.3511513234408272e-303,ALL
eszk,0.10985701411630668,8.22437453424204e-4,133.57491643761955,0,ALL
emp,-42236.26324998678,238.8173859582251,-176.8558979930168,0,ALL
persexp_clean,13.628270948209108,0.038858221475337434,350.7178257465723,0,ALL
liabilities,-0.06612976343993482,0.0020553728460414385,-32.17409608543674,8.473144982471184e-227,ALL
(Intercept),125869.16261480696,42672.17511340884,2.949677682946497,0.003202792950290199,10
tanass_clean,-0.15005432376515032,0.032023687533959205,-4.685729074955115,2.899224655150203e-6,10
eszk,0.4716758301208502,0.029709282433449544,15.876379080424796,8.281471698001833e-55,10
emp,-34189.1640707896,1281.3847124583513,-26.681420293517704,1.51619009999071e-142,10
persexp_clean,13.080746446780445,0.2675548273233562,48.88996613382561,0,10
liabilities,-0.10512921202280867,0.03835629282076159,-2.740859564141821,0.0061599576797450595,10
(Intercept),606.6261647780948,8840.029616484117,0.06862263941366341,0.9452927433461741,11
tanass_clean,0.11754551270668626,0.040294015729601354,2.917195285163234,0.0035476811910704767,11
eszk,-0.14038402114463477,0.02507726739814719,-5.5980589478025395,2.2833858957524655e-8,11
emp,-34284.29975264169,1271.562148853645,-26.962346892403257,1.3149023389674936e-149,11
persexp_clean,15.11329770254396,0.15326906064548165,98.6063177975737,0,11
liabilities,0.47455190154274884,0.026826755447989827,17.689500411735697,5.745582388996306e-68,11
(Intercept),-207703.5075355514,19347.40192132999,-10.735472823695458,3.0914606559833674e-25,12
tanass_clean,1.3016293091577613,0.08850492823143022,14.706856840267134,1.3577373285352544e-43,12
eszk,-0.4167864010063821,0.11636601326554727,-3.581684972357654,3.61645061596874e-4,12
emp,-56112.54554018131,3286.4055624877988,-17.074139047435242,4.226651571542764e-56,12
persexp_clean,27.607118397529238,0.9439288939914575,29.247031819092804,4.309343604450068e-129,12
liabilities,0.2728123924034015,0.15646503938115086,1.743599678768028,0.08160644646189717,12
(Intercept),-18436.561204070167,10863.02466106183,-1.697184879838802,0.09003303042684298,13
tanass_clean,-0.22762280307002586,0.09562187309204687,-2.3804470223137457,0.01751431542828117,13
eszk,0.7865505781993622,0.05561391133709202,14.143054485627731,6.975994406257885e-41,13
emp,-4736.211153623316,190.23221037501057,-24.89699901129613,7.369679148285894e-103,13
persexp_clean,2.641491991464349,0.11850075896945651,22.290928888862155,8.55292175068618e-87,13
liabilities,0.5476235987835285,0.06006341117429492,9.11742420347069,5.580793075437185e-19,13
(Intercept),31208.206118249997,20238.98429802437,1.5419847981845802,0.1231868840059388,14
tanass_clean,-3.644629357351816,0.06504218776524212,-56.03485187962064,0,14
eszk,2.5201639147945922,0.051852083413492324,48.60294416132999,0,14
emp,-18193.31597290672,1698.3434595832166,-10.712389104952578,2.75732865213942e-26,14
persexp_clean,6.795892956412284,0.601985520668346,11.289130258261427,5.94970025105655e-29,14
liabilities,-0.4702449776093004,0.05720236517858383,-8.22072612104782,3.0203466425694415e-16,14
(Intercept),-95986.99413543176,32228.19648692615,-2.9783545031559653,0.003034607040942104,15
tanass_clean,-0.34286875316823484,0.07556944185035644,-4.537134915554727,7.103014665793619e-6,15
eszk,0.11538814801816141,0.048043576768669216,2.401739332892671,0.016670599232556437,15
emp,-4959.290654913149,2311.816268887087,-2.145192384730713,0.032404479586230106,15
persexp_clean,6.144478056547089,0.5786366654420919,10.618888196192277,5.932628764896457e-24,15
liabilities,1.3322173899573622,0.12678927789071498,10.507334785088503,1.5760032810994977e-23,15
(Intercept),-2332.2327219010817,5331.264895245679,-0.4374632976839929,0.66180236394689,16
tanass_clean,-0.39360451647609135,0.022822225173596253,-17.24654425596785,4.8906263175668684e-64,16
eszk,0.6137615193929239,0.014944388192081888,41.06969863899268,2.515203989030542e-301,16
emp,-7411.393687474578,836.110814593157,-8.864128484070484,1.2035396624329829e-18,16
persexp_clean,6.110156369650676,0.17326616809311826,35.26456686204834,2.156057128130306e-233,16
liabilities,0.15613922431383412,0.022978626460258892,6.794976391816718,1.2679031716605064e-11,16
(Intercept),129340.46831851457,55357.261320502286,2.3364679760740192,0.019836488928479726,17
tanass_clean,-0.18536822518153903,0.035092072764550016,-5.282339017853567,1.8614803817857475e-7,17
eszk,0.16478862434183644,0.019406598274347472,8.491370925097243,2.0404269806341254e-16,17
emp,-4011.439650520427,756.6085304230066,-5.301869446644623,1.6818490302808667e-7,17
persexp_clean,3.815491399925126,0.1819809487156118,20.966433172561004,1.2565711301409298e-71,17
liabilities,0.8167805504423876,0.0364543751236975,22.405556196502513,7.670589403834958e-79,17
(Intercept),-17399.72709662028,4767.56429675528,-3.6496051261358398,2.687452534574798e-4,18
tanass_clean,-1.0158884984959118,0.05846052089200898,-17.37734257230634,1.7072207745503545e-63,18
eszk,0.7572091429652029,0.03252903936144367,23.277943579935993,2.329216519869361e-107,18
emp,2333.7328344269454,702.0607210327798,3.324118220136092,9.014947638038239e-4,18
