term,estimate,std.error,statistic,p.value,depvar,k
(Intercept),-43079.11029892009,28580.858210778464,-1.5072714045610436,0.1317418658222095,tanass_clean,1
age,13177.675810757986,1845.2550034062253,7.141384679316854,9.254598361920139e-13,tanass_clean,1
(Intercept),-6498.379741150805,63293.418972991414,-0.10267070173478533,0.9182243769994752,eszk,2
age,29872.293741164915,4086.628827705262,7.309764356049656,2.680893382327573e-13,eszk,2
tanass_clean,1.1794960584578549,0.003438785878813228,342.9978195865208,0,eszk,2
(Intercept),-46310.77765697126,18595.795812193588,-2.4903896625173996,0.012760699817571016,sales_clean,3
age,21005.99502500401,1204.0830715398065,17.445636037504542,3.930646729227472e-68,sales_clean,3
tanass_clean,-0.0013143563428977708,0.001147171971972088,-1.1457361014829173,0.25190502355153904,sales_clean,3
eszk,0.10206261583681576,4.648963259296931e-4,219.53844361474012,0,sales_clean,3
(Intercept),-6866.731513594617,3701.5385950747263,-1.855101962932793,0.06358237780172227,pretax,4
age,841.391945585879,239.7619501669355,3.509280538467657,4.493683646951823e-4,pretax,4
tanass_clean,-0.013780809158982613,2.283460359647909e-4,-60.35055130585889,0,pretax,4
eszk,0.014058291944765175,9.777555072671269e-5,143.78126065542466,0,pretax,4
sales_clean,0.03253708019493909,3.09335668247924e-4,105.18373254280368,0,pretax,4
(Intercept),-9269.657244689493,1190.166578707729,-7.788537680796241,6.794565489831066e-15,persexp_clean,5
age,1889.6749717640066,77.36880637380939,24.424248742238483,1.1736488094167513e-131,persexp_clean,5
tanass_clean,0.00536124679819484,7.337155512145095e-5,73.06982643778561,0,persexp_clean,5
eszk,0.0054915329532467475,3.204712010805075e-5,171.35807943838256,0,persexp_clean,5
sales_clean,0.0498801233005261,1.0030091973753922e-4,497.3047448722215,0,persexp_clean,5
pretax,0.0069963218077920344,4.972426878643225e-4,14.070235678761854,5.928298831744031e-45,persexp_clean,5
(Intercept),95613.66758239473,22409.688019813908,4.266621985002927,1.9849939648259303e-5,satok,6
age,-4402.858667546497,1458.618209578463,-3.0185134387009414,0.0025403372587157395,satok,6
tanass_clean,-0.3046785123436545,0.0013876558390857768,-219.5634564146572,0,satok,6
eszk,0.33486502788751804,6.233016563024978e-4,537.2439243527422,0,satok,6
sales_clean,0.3734151533764025,0.0023843324126439584,156.61203588736473,0,satok,6
pretax,-0.0137943034272737,0.009346362706313517,-1.4759007178220866,0.13997131416466418,satok,6
persexp_clean,-1.2566412140226066,0.02927730823334184,-42.922020153188384,0,satok,6
(Intercept),-265499.5140790452,215131.1142167384,-1.234128847636433,0.21717086337312477,export_value,7
age,-73707.94754068175,11341.448598632738,-6.498988810791557,8.296398019207971e-11,export_value,7
tanass_clean,0.06774725535828138,0.006159140854749787,10.999465178010382,4.713477402121964e-28,export_value,7
eszk,-0.054071105478590197,0.005361639305425472,-10.084808469655046,7.452573390262555e-24,export_value,7
sales_clean,0.9811600266003067,0.004959329498938379,197.84126600386992,0,export_value,7
pretax,0.033518596108907166,0.019860623724391003,1.6876910098116753,0.09148772775706755,export_value,7
persexp_clean,-0.860335313670595,0.06067807101343203,-14.17868596185509,2.168465130521174e-45,export_value,7
satok,0.13112546430618857,0.006241215120991288,21.00960498303766,7.591920262445694e-97,export_value,7
(Intercept),-40389.11692031434,22220.573986631498,-1.8176450772429882,0.06913486888923338,ereduzem,8
age,4216.959659709863,1172.7898580974934,3.595665182977145,3.24421568981341e-4,ereduzem,8
tanass_clean,-0.003499119722294071,6.380740066861952e-4,-5.483877552803899,4.2165441932309146e-8,ereduzem,8
eszk,0.00419835472389458,5.551288641118467e-4,7.5628471068812955,4.131129916368425e-14,ereduzem,8
sales_clean,0.025833887651075933,9.11940283334727e-4,28.328486111621437,8.669327842375082e-173,ereduzem,8
pretax,0.0805447827191237,0.0020508772188986314,39.27333239499248,0,ereduzem,8
persexp_clean,0.04246155578846633,0.006348552920915477,6.688383371362567,2.3222493413038644e-11,ereduzem,8
satok,-0.0014310280635200822,6.521979712180941e-4,-2.1941620898442635,0.028236381823111546,ereduzem,8
export_value,0.002075394287645837,7.669572192556255e-4,2.7060104990733675,0.006816048511184546,ereduzem,8
(Intercept),0.06896771684053489,2.1536439433118453,0.03202373217481681,0.9744535059800514,emp,9
age,0.0075045353351793145,0.10978025483729374,0.06835960935144349,0.9455001882544993,emp,9
tanass_clean,-1.6186075237460643e-7,6.067750702492645e-8,-2.6675577213169563,0.007647812865974021,emp,9
eszk,4.305676723830494e-8,5.362082775909269e-8,0.8029858739173164,0.421994274023609,emp,9
sales_clean,1.3211865600162786e-6,8.167189155491865e-8,16.176759652099804,2.0352778096184658e-58,emp,9
pretax,1.2263218492407428e-6,5.204173218985528e-7,2.3564201221568775,0.01846346705935091,emp,9
persexp_clean,1.64236260049174e-4,5.581377422856335e-7,294.25757766641806,0,emp,9
satok,-3.6983890460888866e-7,6.203287341662411e-8,-5.961982481852533,2.5419072677540115e-9,emp,9
export_value,-3.1092544791867277e-6,6.740147651977424e-8,-46.130361525159394,0,emp,9
ereduzem,-8.193765912062831e-6,8.141684341717612e-7,-10.063969036576813,9.310560884248699e-24,emp,9
(Intercept),38709.76913592956,54361.26706755378,0.7120836438162049,0.4764228838578797,liabilities,10
age,1579.416948796968,2771.0218391404633,0.5699763626860781,0.568701362333574,liabilities,10
tanass_clean,-0.009400367112373735,0.0015319177892797505,-6.136339154853362,8.634087782696658e-10,liabilities,10
eszk,1.002567216346269,0.001353497669858143,740.7232673339925,0,liabilities,10
sales_clean,-0.026741851800949783,0.0020775380479030976,-12.87189509137553,9.775716402921974e-38,liabilities,10
pretax,-0.04543749562881437,0.013138302302496338,-3.4583993108592908,5.44743708789173e-4,liabilities,10
persexp_clean,-0.9950379983899977,0.034968322665169124,-28.455411142185685,5.524451077836282e-174,liabilities,10
satok,-1.0045088354767455,0.001567462304287995,-640.8503941235348,0,liabilities,10
export_value,0.013219250922707556,0.0018059882211900371,7.319677264559826,2.598182423946503e-13,liabilities,10
ereduzem,0.07285098850688888,0.02061279207124952,3.5342610673544113,4.1001722614578525e-4,liabilities,10
emp,2119.240570662426,194.87025725403367,10.875136106069666,1.869940886791889e-27,liabilities,10
