nobs,r2,adj_r2,depvar,k
414918,NA,NA,age,0
414721,1.2295820627014316e-4,1.2054723150956015e-4,tanass_clean,1
414721,0.22117079739173154,0.22116704144575083,eszk,2
414069,0.13125214258864354,0.1312458483025477,sales_clean,3
414069,0.1029230863053249,0.10291442023521313,pretax,4
411970,0.5308158343703687,0.5308101398902002,persexp_clean,5
410316,0.5260875393351699,0.5260806092537825,satok,6
18171,0.8130204176784798,0.8129483559554026,export_value,7
18168,0.3819113288984782,0.3816390281457488,ereduzem,8
16788,0.8943964822173228,0.8943398347229824,emp,9
16788,0.995930704735789,0.9959282792155744,liabilities,10
